name,Code,Department,Year,Term,Credits,Lecturer,Core Natural Sciences,Core Mathematics,Core Physics (BPhys),Core Biological Sciences,Core Biochemistry,Core Biological and Medicinal Chemistry,Physics (MPhys),Pre Req,Co Req,Natural Science History,Topic Pathway,Module Descriptor
Advanced Topics in Natural Sciences Chemistry I,NSCM006,Natural Sciences,4,1,15,,N,N,N,N,N,Y,N,"NSC1003 covers for all, few extra combined",N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSCM006&ay=2020/1
Advanced Topics in Natural Sciences Chemistry II,NSCM007,Natural Sciences,4,2,15,,N,N,N,N,N,N,N,"NSC1003 covers for all, few extra combined",N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSCM007&ay=2020/1
Bioimaging,NSCM009,Natural Sciences,4,1,15,,N,N,N,N,N,N,N,NSC1003 or BIO1339,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSCM009&ay=2020/1
Secondary Metabolites,BIOM514,Biosciences,4,2,15,,N,N,N,N,N,N,N,"BIO2085, NSC2001",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM514&ay=2020/1
Advanced topics in biological sciences,BIOM528,Biosciences,4,"1,2",15,,N,N,N,N,N,N,N,Specific to Topic,Specific to Topic,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM528&ay=2020/1
Cellular Basis of Immunity,BIOM515,Biosciences,4,1,15,,N,N,N,N,N,N,N,"BIO2089, BIO2088 or BIO2087",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM515&ay=2020/1
Bioinformatics,BIOM516,Biosciences,4,2,15,,N,N,N,N,N,N,N,"BIO2092, BIO2093, BIO2087",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM516&ay=2020/1
Energy Metabolism,BIOM517,Biosciences,4,2,15,,N,N,N,N,N,N,N,NSC1003,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM517&ay=2020/1
Molecular Basis of Infection,BIOM525,Biosciences,4,1,15,,N,N,N,N,N,N,N,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM525&ay=2020/1
Medical Mycology,BIOM534,Biosciences,4,1,15,,N,N,N,N,N,N,N,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM534&ay=2020/1
Medical Mycology Project 1,BIOM536,Biosciences,4,"1,2",60,,N,N,N,N,N,N,N,BIOM534,"BIOM537, BIOM509",N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM536&ay=2020/1
Project 2 - Fungal Immunology,BIOM537 ,Biosciences,4,3,60,,N,N,N,N,N,N,N,BIOM534,"BIOM536, BIOM509",N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM537&ay=2020/1
Extended Medical Mycology Project,BIOM538,Biosciences,4,"1,2,3",15,,N,N,N,N,N,N,N,BIOM534,BIOM509,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM538&ay=2020/1
Sustainable Land Use in Grassland Agriculture,BIOM562,Biosciences,4,2,15,,N,N,N,N,N,N,N,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM562&ay=2020/1
Crop Security,BIOM563,Biosciences,4,1,15,,N,N,N,N,N,N,N,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM563&ay=2020/1
Application of Genomics in Infectious Disease,BIOM567,Biosciences,4,3,15,,N,N,N,N,N,N,N,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM567&ay=2020/1
Blue Planet,BIOM568,Biosciences,4,1,15,,N,N,N,N,N,N,N,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIOM568&ay=2020/1
Dynamical Systems and Chaos,MTHM018,Mathematics,4,1,15,,N,,N,N,N,N,N,MTH2003,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM018
Fluid Dynamics of Atmospheres and Oceans,MTHM019,Mathematics,4,1,15,,N,,N,N,N,N,N,MTH3001,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM019
The Climate Change,MTHM025,Mathematics,4,,15,,N,,N,N,N,N,N,,,Y,,
"Waves, Instabilities and Turbulence",MTHM030,Mathematics,4,2,15,,N,,N,N,N,N,N,MTH3007,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM030
Magnetic Fields and Fluid Flows ,MTHM031,Mathematics,4,1,15,,N,,N,N,N,N,N,MTH3007,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM031
Functional Analysis,MTHM001,Mathematics,4,1,15,,N,,N,N,N,N,N,"ECM3740, ECM3703",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM001
Methods for Stochastics and Finance,MTHM002,Mathematics,4,1,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM002
Analysis and Computation for Finance,MTHM003,Mathematics,4,1,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM003
Fractal Geometry,MTHM004,Mathematics,4,2,15,,N,,N,N,N,N,N,"MTH2001, MTH2008",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM004
